,AAPL_MA_PnL,AAPL_BB_PnL,MSFT_MA_PnL,MSFT_BB_PnL,TSLA_MA_PnL,TSLA_BB_PnL,JNJ_MA_PnL,JNJ_BB_PnL,PFE_MA_PnL,PFE_BB_PnL,MRK_MA_PnL,MRK_BB_PnL,JPM_MA_PnL,JPM_BB_PnL,BAC_MA_PnL,BAC_BB_PnL,WFC_MA_PnL,WFC_BB_PnL,XOM_MA_PnL,XOM_BB_PnL,CVX_MA_PnL,CVX_BB_PnL,SLB_MA_PnL,SLB_BB_PnL,PG_MA_PnL,PG_BB_PnL,KO_MA_PnL,KO_BB_PnL,WMT_MA_PnL,WMT_BB_PnL,BTC-USD_MA_PnL,BTC-USD_BB_PnL,GC=F_MA_PnL,GC=F_BB_PnL,CL=F_MA_PnL,CL=F_BB_PnL,LITM_MA_PnL,LITM_BB_PnL
AAPL_MA_PnL,6.612057922680086,1.0478837615932186,-0.03957061154060925,0.18252336810682493,-0.5825285493757935,0.013309863019506617,0.14348006994809387,0.32425193269898767,0.23397404688064985,0.8598655537762598,-0.17065186623746595,0.21683060158117026,0.17653233841032537,-0.4505217690275615,-0.0034206614165306214,-0.0727740321892846,0.10663980833490577,-0.3903141309098609,-0.336664064675595,0.44321018279625435,-0.018457363587061484,-0.3290668291541624,0.2735343001148699,0.1578518050401063,0.09838654595204883,-0.5354238197410743,0.2662146403445053,-0.25807991703221494,0.6642740717457482,-0.25492233852156426,-0.4089009706417233,-1.1008208421086558,-0.02258262178577371,0.023312903111031267,0.4912665326136655,-0.2622650106054083,22.365700121625277,1.919502489719027
AAPL_BB_PnL,1.0478837615932186,12.041130359134575,-0.07913097731755989,1.049852634101698,0.8987355231899403,-3.4023435690751342,0.10846662727233851,-0.14289373842318284,0.37614332950451085,0.11229393255754416,0.3356442747640121,0.27666537575649275,0.14527559930608142,0.22491024291864212,-0.580043190678547,0.7597954928511902,0.13052313093209716,0.020725563059390467,0.5547383234875131,-0.36292265072622004,-0.4215078514900608,-0.4841738887032437,0.25472075422001056,0.9854331273375688,0.17462196733827418,0.47605802369913564,-0.23508690020387268,-0.03892812867249554,0.035594009543750055,-0.2618671000573777,-2.437086607686871,3.5312809026641743,-0.8452227795489708,-0.06100046576704479,0.34024780011586375,-1.8950087180732829,2.46020254870222,-0.973584380825276
MSFT_MA_PnL,-0.03957061154060925,-0.07913097731755989,6.936776811536097,0.06952930712675436,-0.23778217258889103,0.759082806378812,0.086165173344678,0.005530761521276592,0.08003156160018367,-0.23067469678724903,-0.47588380973606603,0.28347125269008727,0.3343368468427607,0.4837792540315314,0.12960863503683925,-0.9317016157376471,-0.27023044476073665,-0.12802265886447675,0.427778059746259,0.35201693759420916,-0.18245704839046284,0.45126744707265587,0.015509392548545652,-0.5358535517637776,-0.24661423275176406,0.3221520868959412,-0.020278054882726774,0.3279710996632053,0.4346809071341605,-0.2383965499486119,-1.2105577668927097,-0.38798413718607533,0.04637442880404823,0.1884476381355808,-0.3030540106744329,-0.1500378490308871,-15.673500617896684,8.679506023127416
MSFT_BB_PnL,0.18252336810682493,1.049852634101698,0.06952930712675436,10.738644375127086,-1.8939013169204664,-0.12244917165814197,0.5849069472373878,-0.5195110366676821,0.27732853488083486,-0.24582600262465445,0.5057756429372031,0.2638914128858628,-0.1796213780437698,-0.1916430725193629,0.5301656978052598,-0.44326272693906565,0.13817110092041898,-0.9816535256819795,0.29150237594146133,0.13168201095067933,0.12676077105943429,0.12094816146949224,-0.27106433270646835,-0.38259088092287225,-0.47631633123859446,0.42930575278279487,-0.04857536094482664,-0.5014991396744198,0.5227272322888245,-1.3343153939787984,0.4079661464608222,-0.8975245365646695,-0.02855597182753836,-0.18278683939928647,-0.9150106362267467,0.44140230154533955,-12.600879367424742,-22.575186145661476
TSLA_MA_PnL,-0.5825285493757935,0.8987355231899403,-0.23778217258889103,-1.8939013169204664,16.48833852032304,0.02288784599693233,0.17717624766413384,0.5954314522289829,-1.1771327745153095,0.38774605871072615,0.015910162657544673,0.6426108847026563,-0.7521723077639723,-0.35991676586515653,-0.3989860609867768,-3.160878373144898,0.06867891554487646,1.1720124488583772,-0.47371812399417734,0.7056506802539757,0.00815313675525285,1.2194311937879145,-0.5820335186317366,-0.1014224217827131,0.09321339751340676,-0.5574842130523738,-0.09778319491173756,1.4307005852664454,-0.9701184264213888,3.2040101130957206,0.7839020593609238,2.4832098337488095,-0.4300892568449186,0.33938909895323494,0.30059509208668217,-1.0618760702720638,14.15697103133701,-5.747744996613615
TSLA_BB_PnL,0.013309863019506617,-3.4023435690751342,0.759082806378812,-0.12244917165814197,0.02288784599693233,41.86790294000531,-0.5967705981338347,0.9217878577086042,0.5501539553947519,-0.727908571837181,0.004575373038047458,0.18003823976854114,0.31630412104998995,-1.5648015736944632,0.7406033959211977,4.582617307026445,-0.6767117754453179,-0.8225156340433126,0.06921439215597384,0.4888104606277566,-0.9071535724537153,-0.04151974735872909,-0.4825413790503157,0.18531985533616097,-0.37151656932079374,0.1536108212693385,-0.30328687346048194,-0.8881665344979548,-0.6748792487336304,1.012061812442101,2.864334765865883,-2.3284206907723086,0.33888680447134584,-0.48404812495552557,-0.14912862361827733,0.21822116762146548,-3.3498552099392316,-10.2082597195884
JNJ_MA_PnL,0.14348006994809387,0.10846662727233851,0.086165173344678,0.5849069472373878,0.17717624766413384,-0.5967705981338347,1.9742119241512144,-0.28688282898651224,0.10165910418385937,-0.0764597874210496,0.15490705385484987,0.13746646565266174,0.21209549523645335,0.4655400195480503,-0.11332341950239888,0.09386030107128876,0.1592953481312704,-0.15006802491852822,0.03142511058669933,0.01919331317357052,-0.031404136248240115,0.0639927481221835,0.13993720329122278,0.0571310298795566,-0.014818540600694484,0.04913013994888277,-0.20529415416881147,-0.06117724194644328,0.1411190745414206,-0.015509517965406443,-0.012556921121608316,0.21317813237457162,0.14909223631454702,0.03910149339975543,-0.20705407510789622,0.2824408153437971,-3.726938338468433,-0.9153243857075247
JNJ_BB_PnL,0.32425193269898767,-0.14289373842318284,0.005530761521276592,-0.5195110366676821,0.5954314522289829,0.9217878577086042,-0.28688282898651224,4.1627034532692635,0.2943279060883234,0.25564341840945504,-0.25555123076652186,0.027012611590480764,0.12751152387184903,-0.009741848236799383,0.19349850106883823,0.019811995571406477,0.23480047171539992,0.05726173599111714,0.11062707805081763,0.1497952071946578,-0.341449649984145,0.11020748657707999,-0.24234375620692394,0.43152386467197507,0.08151595409871405,0.052059351489662356,-0.08565870773543727,0.17210911888397878,-0.033790801263083016,-0.5191498953019013,2.367399361354109,1.444769160908686,0.05123453280661214,-0.16387230594944363,0.29521092573826313,-1.0655625798474853,10.78966900131552,-1.5987271597221697
PFE_MA_PnL,0.23397404688064985,0.37614332950451085,0.08003156160018367,0.27732853488083486,-1.1771327745153095,0.5501539553947519,0.10165910418385937,0.2943279060883234,2.4907447200612944,0.25434482483388693,0.03933944698964095,0.009650101124287132,0.1406202277420279,0.003140110635510243,0.2503396533923805,0.4692454221775543,0.13971566898658666,0.2128060216955551,0.11241003495973956,-0.13255628239322875,0.1332784646925531,-0.12403062158353811,-0.12481471490398932,0.010139109163104553,0.06992181765105661,0.19269777605904337,0.2181414490417053,0.09035629042896813,0.10271750495588601,0.03776607608781285,0.876191370147947,1.1125274849587024,0.17241018399381047,-0.14585618250574975,-0.015446640372214968,-0.1559723825086936,6.299782648861661,-4.20364121612803
PFE_BB_PnL,0.8598655537762598,0.11229393255754416,-0.23067469678724903,-0.24582600262465445,0.38774605871072615,-0.727908571837181,-0.0764597874210496,0.25564341840945504,0.25434482483388693,5.127396339289136,0.009451895099202795,-0.35158422421459223,-0.09196855293710592,-0.00557020509728223,0.28670024477091155,-0.14515758533014872,-0.08077425388991684,-0.21425779351135413,-0.07677059095098032,0.20602494068123528,-0.2276007789269466,-0.20657729322533472,0.30648475907384964,0.1871177384730008,0.14919071291514333,-0.19769463843835217,-0.06481066007661253,-0.10873122267191963,0.36003249274771204,0.0545828025175903,-0.3829065311393007,0.0683235602635217,-0.2282636590457367,-0.1610829206485792,0.04038643601487987,-0.675883632990185,1.3564728517488647,-4.427889735655834
MRK_MA_PnL,-0.17065186623746595,0.3356442747640121,-0.47588380973606603,0.5057756429372031,0.015910162657544673,0.004575373038047458,0.15490705385484987,-0.25555123076652186,0.03933944698964095,0.009451895099202795,2.505579308100232,0.1006677187441793,0.35871990734968207,0.20068995529728312,-0.02785929524783917,-0.3445492515835928,-0.14594752114844597,0.019492729856961443,0.043046836302079686,0.04037245153227698,-0.03370305426377714,-0.1492666445280657,-0.057467180928912995,0.2627602311998175,0.029612576067728578,0.0459608480478429,-0.10639444740234202,0.027821247336225284,0.4473647630615389,0.4293902719547328,0.6038833693987214,0.26435037865689454,-0.03777705756575841,0.18127954379821598,0.0012964689283456495,-0.03246856898955661,-6.0754277125580165,-2.3885006290620647
MRK_BB_PnL,0.21683060158117026,0.27666537575649275,0.28347125269008727,0.2638914128858628,0.6426108847026563,0.18003823976854114,0.13746646565266174,0.027012611590480764,0.009650101124287132,-0.35158422421459223,0.1006677187441793,5.082346388389424,0.2307067210888287,-0.199001901253107,0.05223450943084279,-0.2636876522138698,-0.20170347172348738,-0.10264249775429095,0.18514567489094416,-0.03246776961244932,-0.023927631753696044,-0.11427128657685243,-0.25868910907960835,0.012550034191317061,0.03859932143540589,0.07752604028172358,0.144310712250461,0.25284345278268766,-0.11700591352605509,0.11113923310037921,-0.6290772051444874,-0.1637505667113921,0.1680009883324795,0.2553921057851508,0.1890242914684297,0.3017883381050952,17.27713633087219,2.5735883295109483
JPM_MA_PnL,0.17653233841032537,0.14527559930608142,0.3343368468427607,-0.1796213780437698,-0.7521723077639723,0.31630412104998995,0.21209549523645335,0.12751152387184903,0.1406202277420279,-0.09196855293710592,0.35871990734968207,0.2307067210888287,4.118338920709667,0.3959730464068429,-0.05147136113841916,-0.3029146042134431,0.00877154630978179,0.3892602901615904,-0.0612542280894109,0.2557204059581167,0.2866032893053578,0.17661251138024003,0.14508475187635456,0.4187177944700033,0.08729815152576653,0.46821417484400346,-0.38203232616072785,-0.13590090559691614,0.21837413555474094,-0.7036437170917954,0.4344081206378556,-0.7251887439127421,0.22197238832287186,0.11231633573273596,0.533934851623513,0.96577618057331,-3.480244128619127,-1.8120144293581997
JPM_BB_PnL,-0.4505217690275615,0.22491024291864212,0.4837792540315314,-0.1916430725193629,-0.35991676586515653,-1.5648015736944632,0.4655400195480503,-0.009741848236799383,0.003140110635510243,-0.00557020509728223,0.20068995529728312,-0.199001901253107,0.3959730464068429,10.401038904185276,-0.315388097265366,0.13518993093996579,0.28593299229096897,-0.42082489652517535,0.16345362985672726,-0.04207428091631862,-0.10800568349108972,0.232720644291394,0.013453187854734094,-0.21443854916901006,0.0816326826589445,0.2683433820582816,-0.10136017778435612,0.4794472669133562,-0.05449131835385033,0.027733995740487398,-0.07536914916203227,-0.29432161959196984,0.15255806913279568,-0.11203651829394551,0.33111300895582113,1.667056253515106,-0.4762711939172982,-1.7961824165075586
BAC_MA_PnL,-0.0034206614165306214,-0.580043190678547,0.12960863503683925,0.5301656978052598,-0.3989860609867768,0.7406033959211977,-0.11332341950239888,0.19349850106883823,0.2503396533923805,0.28670024477091155,-0.02785929524783917,0.05223450943084279,-0.05147136113841916,-0.315388097265366,4.497237501733232,0.6474891862159446,0.29536623036033266,0.7435095933890842,-0.20034374425516266,0.004750867164219886,-0.29029812328180177,0.3951435184004721,0.2024849662656765,-0.20735594058981852,-0.20573275391161458,0.018420798855211935,-0.11209151940204032,-0.2661766593605063,-0.372954474803022,0.8793377029140085,-0.7509122789683549,0.2137424718696788,0.39935766901774616,0.2737868258247913,0.17863176189850685,0.3658860884914479,2.301798015955694,7.595548268963733
BAC_BB_PnL,-0.0727740321892846,0.7597954928511902,-0.9317016157376471,-0.44326272693906565,-3.160878373144898,4.582617307026445,0.09386030107128876,0.019811995571406477,0.4692454221775543,-0.14515758533014872,-0.3445492515835928,-0.2636876522138698,-0.3029146042134431,0.13518993093996579,0.6474891862159446,14.892626006641722,-0.6301223980312083,-0.02408817553518163,-0.37025937936964937,-0.111764844485114,-0.34202296827860057,-0.04373771887855219,0.6799572160043104,-0.1586413535373231,-0.1953388809002859,-0.3656760710262305,-0.04651411732487652,0.07110724326930595,0.029567676481241704,0.5262375863529211,-0.7314221981566958,1.93478939270387,0.016033023165403587,-0.15276929396214137,-0.0922434439550384,-1.2021587107899456,8.243878374644725,9.32162324251238
WFC_MA_PnL,0.10663980833490577,0.13052313093209716,-0.27023044476073665,0.13817110092041898,0.06867891554487646,-0.6767117754453179,0.1592953481312704,0.23480047171539992,0.13971566898658666,-0.08077425388991684,-0.14594752114844597,-0.20170347172348738,0.00877154630978179,0.28593299229096897,0.29536623036033266,-0.6301223980312083,2.7668985837313693,-0.17619112024975722,-0.09320766369292521,0.02059657532100274,0.14482673400852544,-0.2940360217071789,0.38968555753021905,0.12277771879100438,-0.06287590491150788,-0.05527692282218837,0.011989221719911989,0.09562882358640205,0.07314320335082328,-0.4978543995435791,0.24731128919707573,0.4873740044937737,0.02086447980505748,-0.03365925033239969,-0.2050238648501217,1.199729199367061,-15.01288436409605,-2.354969541005479
WFC_BB_PnL,-0.3903141309098609,0.020725563059390467,-0.12802265886447675,-0.9816535256819795,1.1720124488583772,-0.8225156340433126,-0.15006802491852822,0.05726173599111714,0.2128060216955551,-0.21425779351135413,0.019492729856961443,-0.10264249775429095,0.3892602901615904,-0.42082489652517535,0.7435095933890842,-0.02408817553518163,-0.17619112024975722,8.514253594016026,-0.22325479552455932,0.02825487424883526,-0.15883692665905239,0.3634987049828815,0.048440518917975774,-0.4694953216290937,-0.11397593809557342,-0.17304154809862451,-0.247931175040238,0.14661137166747487,0.4748769055061715,0.3012708362720532,-2.3903438550984193,0.9210468943916366,-0.09576009294020342,-0.15897331097890222,0.5306354056466143,-0.9298261996038097,-4.1300318359971415,5.451065339436194
